pH,C,M,Y,K
6.5,14.5,0,58.355,42.16
6.51,14.607,0,58.3025,42.2894
6.52,14.714,0,58.25,42.4188
6.53,14.821,0,58.1975,42.5482
6.54,14.928,0,58.145,42.6776
6.55,15.035,0,58.0925,42.807
6.56,15.142,0,58.04,42.9364
6.57,15.249,0,57.9875,43.0658
6.58,15.356,0,57.935,43.1952
6.59,15.463,0,57.8825,43.3246
6.6,15.57,0,57.83,43.454
6.61,15.677,0,57.7775,43.5834
6.62,15.784,0,57.725,43.7128
6.63,15.891,0,57.6725,43.8422
6.64,15.998,0,57.62,43.9716
6.65,16.105,0,57.5675,44.101
6.66,16.212,0,57.515,44.2304
6.67,16.319,0,57.4625,44.3598
6.68,16.426,0,57.41,44.4892
6.69,16.533,0,57.3575,44.6186
6.7,16.64,0,57.305,44.748
6.71,16.747,0,57.2525,44.8774
6.72,16.854,0,57.2,45.0068
6.73,16.961,0,57.1475,45.1362
6.74,17.068,0,57.095,45.2656
6.75,17.175,0,57.0425,45.395
6.76,17.282,0,56.99,45.5244
6.77,17.389,0,56.9375,45.6538
6.78,17.496,0,56.885,45.7832
6.79,17.603,0,56.8325,45.9126
6.8,17.71,0,56.78,46.042
6.81,17.817,0,56.7275,46.1714
6.82,17.924,0,56.675,46.3008
6.83,18.031,0,56.6225,46.4302
6.84,18.138,0,56.57,46.5596
6.85,18.245,0,56.5175,46.689
6.86,18.352,0,56.465,46.8184
6.87,18.459,0,56.4125,46.9478
6.88,18.566,0,56.36,47.0772
6.89,18.673,0,56.3075,47.2066
6.9,18.78,0,56.255,47.336
6.91,18.887,0,56.2025,47.4654
6.92,18.994,0,56.15,47.5948
6.93,19.101,0,56.0975,47.7242
6.94,19.208,0,56.045,47.8536
6.95,19.315,0,55.9925,47.983
6.96,19.422,0,55.94,48.1124
6.97,19.529,0,55.8875,48.2418
6.98,19.636,0,55.835,48.3712
6.99,19.743,0,55.7825,48.5006
7,19.85,0,55.73,48.63
7.01,19.9478,0,55.4227,48.7202
7.02,20.0456,0,55.1154,48.8104
7.03,20.1434,0,54.8081,48.9006
7.04,20.2412,0,54.5008,48.9908
7.05,20.339,0,54.1935,49.081
7.06,20.4368,0,53.8862,49.1712
7.07,20.5346,0,53.5789,49.26139999
7.08,20.6324,0,53.2716,49.35159999
7.09,20.7302,0,52.9643,49.44179999
7.1,20.828,0,52.657,49.53199999
7.11,20.9258,0,52.3497,49.62219999
7.12,21.0236,0,52.0424,49.71239999
7.13,21.1214,0,51.7351,49.80259999
7.14,21.2192,0,51.4278,49.89279999
7.15,21.317,0,51.1205,49.98299999
7.16,21.4148,0,50.8132,50.07319999
7.17,21.5126,0,50.5059,50.16339998
7.18,21.6104,0,50.1986,50.25359998
7.19,21.7082,0,49.8913,50.34379998
7.2,21.806,0,49.584,50.43399998
7.21,21.9038,0,49.2767,50.52419998
7.22,22.0016,0,48.9694,50.61439998
7.23,22.0994,0,48.6621,50.70459998
7.24,22.1972,0,48.3548,50.79479998
7.25,22.295,0,48.0475,50.88499998
7.26,22.3928,0,47.7402,50.97519998
7.27,22.4906,0,47.4329,51.06539997
7.28,22.5884,0,47.1256,51.15559997
7.29,22.6862,0,46.8183,51.24579997
7.3,22.784,0,46.511,51.33599997
7.31,22.8818,0,46.2037,51.42619997
7.32,22.9796,0,45.8964,51.51639997
7.33,23.0774,0,45.5891,51.60659997
7.34,23.1752,0,45.2818,51.69679997
7.35,23.273,0,44.9745,51.78699997
7.36,23.3708,0,44.6672,51.87719997
7.37,23.4686,0,44.3599,51.96739996
7.38,23.5664,0,44.0526,52.05759996
7.39,23.6642,0,43.7453,52.14779996
7.4,23.762,0,43.438,52.23799996
7.41,23.8598,0,43.1307,52.32819996
7.42,23.9576,0,42.8234,52.41839996
7.43,24.0554,0,42.5161,52.50859996
7.44,24.1532,0,42.2088,52.59879996
7.45,24.251,0,41.9015,52.68899996
7.46,24.3488,0,41.5942,52.77919996
7.47,24.4466,0,41.2869,52.86939995
7.48,24.5444,0,40.9796,52.95959995
7.49,24.6422,0,40.6723,53.04979995
7.5,24.74,0,40.365,53.13999995
7.51,24.8378,0,40.0577,53.23019995
7.52,24.9356,0,39.7504,53.32039995
7.53,25.0334,0,39.4431,53.41059995
7.54,25.1312,0,39.1358,53.50079995
7.55,25.229,0,38.8285,53.59099995
7.56,25.3268,0,38.5212,53.68119995
7.57,25.4246,0,38.2139,53.77139995
7.58,25.5224,0,37.9066,53.86159994
7.59,25.6202,0,37.5993,53.95179994
7.6,25.718,0,37.292,54.04199994
7.61,25.8158,0,36.9847,54.13219994
7.62,25.9136,0,36.6774,54.22239994
7.63,26.0114,0,36.3701,54.31259994
7.64,26.1092,0,36.0628,54.40279994
7.65,26.207,0,35.7555,54.49299994
7.66,26.3048,0,35.4482,54.58319994
7.67,26.4026,0,35.1409,54.67339994
7.68,26.5004,0,34.8336,54.76359993
7.69,26.5982,0,34.5263,54.85379993
7.7,26.696,0,34.219,54.94399993
7.71,26.7938,0,33.9117,55.03419993
7.72,26.8916,0,33.6044,55.12439993
7.73,26.9894,0,33.2971,55.21459993
7.74,27.0872,0,32.9898,55.30479993
7.75,27.185,0,32.6825,55.39499993
7.76,27.2828,0,32.3752,55.48519993
7.77,27.3806,0,32.0679,55.57539993
7.78,27.4784,0,31.7606,55.66559992
7.79,27.5762,0,31.4533,55.75579992
7.8,27.674,0,31.146,55.84599992
7.81,27.7718,0,30.8387,55.93619992
7.82,27.8696,0,30.5314,56.02639992
7.83,27.9674,0,30.2241,56.11659992
7.84,28.0652,0,29.9168,56.20679992
